roi_name,Net7,posR,posA,posS,colR,colG,colB
17Networks_RH_VisCent_ExStr_4,Vis,20,-88,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_5,Vis,42,-84,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_6,Vis,26,-96,-10,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_Striate_1,Vis,8,-92,-2,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_7,Vis,36,-88,2,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_8,Vis,24,-98,8,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_9,Vis,44,-78,10,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_10,Vis,12,-94,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisCent_ExStr_11,Vis,28,-88,20,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrInf_1,Vis,26,-52,-8,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrInf_2,Vis,18,-36,-12,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrInf_3,Vis,10,-72,-6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrInf_4,Vis,14,-58,-4,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrInf_5,Vis,18,-44,-2,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_StriCal_1,Vis,10,-74,8,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_StriCal_2,Vis,22,-60,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrSup_1,Vis,16,-66,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrSup_2,Vis,4,-80,24,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrSup_3,Vis,14,-78,34,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_VisPeri_ExStrSup_4,Vis,16,-86,36,0.47058823529411764,0.07058823529411765,0.5254901960784314
17Networks_RH_SomMotA_1,SomMot,54,-16,40,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_2,SomMot,52,-12,50,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_3,SomMot,44,-10,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
17Networks_RH_SomMotA_4,SomMot,50,-26,56,0.27450980392156865,0.5098039215686274,0.7058823529411765
