roi_name,Net7,posR,posA,posS,colR,colG,colB
7Networks_RH_Vis_20,Vis,22,-60,6,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_21,Vis,24,-98,8,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_22,Vis,44,-78,10,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_23,Vis,12,-94,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_24,Vis,16,-66,18,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_25,Vis,4,-80,24,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_26,Vis,28,-88,20,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_27,Vis,36,-78,24,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_28,Vis,14,-78,34,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_29,Vis,16,-86,36,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_Vis_30,Vis,30,-78,36,0.47058823529411764,0.07058823529411765,0.5254901960784314
7Networks_RH_SomMot_1,SomMot,52,4,-6,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_2,SomMot,62,-18,0,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_3,SomMot,54,-14,6,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_4,SomMot,40,-20,4,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_5,SomMot,38,-8,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_6,SomMot,34,-22,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_7,SomMot,60,-24,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_8,SomMot,64,-34,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_9,SomMot,42,-14,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_10,SomMot,42,-30,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_11,SomMot,50,-10,14,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_12,SomMot,60,0,10,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_13,SomMot,48,-22,18,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_14,SomMot,62,-12,16,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_15,SomMot,60,6,30,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_16,SomMot,60,-6,26,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_17,SomMot,62,-14,30,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_18,SomMot,52,-6,38,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_19,SomMot,54,-16,40,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_20,SomMot,12,-18,42,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_21,SomMot,52,-12,50,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_22,SomMot,44,-10,48,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_23,SomMot,50,-26,56,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_24,SomMot,6,-10,52,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_25,SomMot,44,-22,54,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_26,SomMot,38,-20,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_27,SomMot,32,-34,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_28,SomMot,30,-40,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_29,SomMot,34,-28,62,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_30,SomMot,4,-24,58,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_31,SomMot,28,-10,64,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_32,SomMot,10,-40,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_33,SomMot,22,-24,66,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_34,SomMot,22,-28,68,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_35,SomMot,22,-34,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_36,SomMot,16,-6,70,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_37,SomMot,16,-46,74,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_38,SomMot,6,-22,72,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_39,SomMot,16,-18,74,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_SomMot_40,SomMot,12,-32,76,0.27450980392156865,0.5098039215686274,0.7058823529411765
7Networks_RH_DorsAttn_Post_1,DorsAttn,50,-50,-18,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_2,DorsAttn,60,-54,-2,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_3,DorsAttn,54,-56,12,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_4,DorsAttn,46,-76,30,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_5,DorsAttn,32,-66,36,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_6,DorsAttn,58,-22,44,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_7,DorsAttn,18,-78,50,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_8,DorsAttn,44,-38,50,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_9,DorsAttn,46,-28,42,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_10,DorsAttn,30,-64,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_11,DorsAttn,36,-44,44,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_12,DorsAttn,20,-68,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_13,DorsAttn,36,-36,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_14,DorsAttn,34,-50,54,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_15,DorsAttn,8,-72,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_16,DorsAttn,26,-58,60,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_17,DorsAttn,8,-54,60,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_18,DorsAttn,14,-64,64,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_Post_19,DorsAttn,24,-50,68,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_FEF_1,DorsAttn,40,-4,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_FEF_2,DorsAttn,28,-4,52,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_FEF_3,DorsAttn,24,-2,64,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_DorsAttn_PrCv_1,DorsAttn,48,8,24,0.0,0.4627450980392157,0.054901960784313725
7Networks_RH_SalVentAttn_TempOccPar_1,SalVentAttn,60,-46,6,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_2,SalVentAttn,52,-40,12,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_3,SalVentAttn,62,-40,22,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_4,SalVentAttn,58,-32,24,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_5,SalVentAttn,60,-22,22,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_6,SalVentAttn,62,-26,38,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_TempOccPar_7,SalVentAttn,62,-38,36,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_PrC_1,SalVentAttn,52,4,40,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_1,SalVentAttn,40,6,-16,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_2,SalVentAttn,40,8,-2,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_3,SalVentAttn,40,-10,-4,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_4,SalVentAttn,40,-2,6,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_5,SalVentAttn,36,22,4,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_6,SalVentAttn,38,8,10,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_7,SalVentAttn,48,4,4,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_FrOperIns_8,SalVentAttn,54,12,12,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_PFCl_1,SalVentAttn,32,44,28,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_1,SalVentAttn,8,18,36,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_2,SalVentAttn,8,2,42,0.7686274509803922,0.22745098039215686,0.9803921568627451
7Networks_RH_SalVentAttn_Med_3,SalVentAttn,12,-34,42,0.7686274509803922,0.22745098039215686,0.9803921568627451
